"study.hrs.perwk","attendance.rate","previous.grades","extracurricular.activities","parent.edu.level","passed"
6,78.2,74.8,"No","Bachelor","Yes"
7.5,80.8,68.7,"No","Doctorate","Yes"
14.6,75.7,54.1,"Yes","Master","No"
11.6,74.9,52.1,"Yes","Master","No"
7.4,77.1,67.7,"Yes","Bachelor","Yes"
12.6,53.9,77,"No","Doctorate","No"
6.5,62.6,72.7,"Yes","High School","Yes"
8.4,98.9,26.9,"No","Doctorate","Yes"
11.5,77.3,54.8,"No","Associate","Yes"
10,54.8,49.1,"Yes","Associate","Yes"
8.8,67,91.5,"No","Associate","No"
7.9,86.6,61.8,"No","High School","No"
6,88,52,"No","High School","No"
9.2,44.6,71.2,"Yes","Doctorate","Yes"
12,92.3,77.3,"Yes","Doctorate","Yes"
19.4,52.4,47.3,"Yes","Associate","Yes"
10.9,94.7,65.8,"Yes","Master","Yes"
9.6,37.6,58.2,"Yes","Master","Yes"
9.9,94.9,81.6,"Yes","Bachelor","No"
22.3,59.6,45.5,"Yes","Associate","No"
9,78.6,81.5,"Yes","Associate","Yes"
11.5,88.9,68,"No","High School","Yes"
4.2,83.2,63.8,"No","Doctorate","Yes"
13.8,94.8,87.3,"Yes","Doctorate","Yes"
5.5,71.9,73,"No","High School","Yes"
17,59.3,64.7,"Yes","Doctorate","No"
21,94,82.4,"Yes","Bachelor","No"
7.2,71,56.7,"No","Doctorate","Yes"
10.5,39.6,65,"Yes","Master","Yes"
7.5,73.3,61.8,"No","Master","Yes"
2.2,51.2,56.4,"Yes","High School","No"
10.3,78.2,48.8,"No","Bachelor","No"
4.7,98.7,85.4,"No","Master","Yes"
12.4,55.4,34.1,"No","Bachelor","No"
5.4,79.8,85,"No","High School","No"
17.7,95,44.9,"Yes","Doctorate","Yes"
6.1,79.4,73.1,"No","Associate","Yes"
8.4,64.5,56.2,"Yes","Bachelor","Yes"
3.8,94.1,82.2,"No","Doctorate","Yes"
11.1,80.3,29,"Yes","Associate","Yes"
16.5,74.9,76.9,"No","Associate","No"
10.9,85.3,80.8,"No","Bachelor","Yes"
11.3,50.9,74.4,"Yes","High School","Yes"
13.9,87.6,74.2,"Yes","Doctorate","No"
3.8,94,78.5,"No","Doctorate","Yes"
11.5,54.2,60,"No","High School","No"
11.3,73,61.6,"Yes","Master","Yes"
11.7,95.2,66.6,"No","Doctorate","Yes"
11.2,86.1,97.8,"No","Bachelor","Yes"
6.4,78.6,47.8,"No","Associate","No"
19.3,66.9,63.2,"Yes","Master","No"
4,37.2,94.4,"Yes","Bachelor","Yes"
5.1,37,74.5,"No","Bachelor","No"
13.9,64,72.7,"No","Master","Yes"
15.8,41,79.2,"No","Doctorate","Yes"
12.1,70.8,65.7,"No","High School","No"
14.1,74.1,46.6,"No","Master","No"
8.8,96.1,91.9,"No","Bachelor","No"
6.2,87.8,76,"No","Doctorate","No"
5.6,93.4,63.4,"No","Bachelor","No"
9.6,97.7,55.9,"No","High School","No"
11.7,95.4,70.1,"No","Master","Yes"
11.4,70.4,60.5,"Yes","Bachelor","No"
14.1,92.9,61.9,"No","Doctorate","No"
10.1,80.5,70.9,"Yes","Associate","Yes"
17.3,43.1,73.6,"No","Doctorate","Yes"
8.7,71.3,62,"Yes","Bachelor","Yes"
5.7,95.4,66.5,"No","Associate","Yes"
12.4,66.1,49.7,"Yes","Associate","No"
8.9,58.6,94.9,"No","Associate","No"
9.6,76.4,55.8,"No","Doctorate","Yes"
2.4,82,60.4,"Yes","Associate","Yes"
3.8,77.7,63.7,"Yes","Bachelor","Yes"
10.9,95.4,61.7,"No","Associate","No"
11.9,94.3,79.2,"No","High School","No"
10.8,86.2,95.8,"No","Master","Yes"
10.3,58.1,97.2,"No","High School","Yes"
11.8,80,59.6,"No","Associate","Yes"
12.8,91.3,64.3,"Yes","Bachelor","Yes"
15.4,57.5,55.4,"Yes","Associate","Yes"
3.1,75.1,82.8,"No","Master","Yes"
5.3,91.8,84.3,"Yes","Associate","Yes"
12.6,81.2,61.9,"No","Bachelor","No"
12.6,77.5,61.7,"No","Associate","Yes"
12.6,79.7,35.1,"No","Bachelor","Yes"
15.7,34.7,48.4,"No","Master","No"
13.3,75.9,60.4,"No","High School","No"
8.4,71.5,64.6,"Yes","Associate","No"
13.8,27.7,85.4,"No","Bachelor","Yes"
7.6,58.3,71.4,"No","Associate","No"
10.4,75.8,53,"Yes","Associate","No"
21.6,69.1,67.2,"Yes","Bachelor","Yes"
13.4,76.8,57.7,"Yes","Bachelor","Yes"
1.9,86.6,50.2,"Yes","Bachelor","Yes"
7.6,64,65.8,"Yes","Associate","Yes"
15.4,80.2,84.8,"No","Doctorate","Yes"
4.6,95.9,55.8,"No","Associate","No"
6.4,72.9,67,"Yes","Master","Yes"
10.2,66.3,69.9,"Yes","High School","No"
6.7,61.3,59.4,"Yes","Associate","No"
20.7,73,44,"Yes","Doctorate","No"
0.1,50,65.9,"No","Bachelor","No"
10.9,89.6,65.2,"Yes","Master","No"
14.3,60.6,39.4,"Yes","High School","No"
9.4,77.8,65.7,"Yes","Bachelor","No"
12.5,31.2,54.4,"No","Associate","No"
14.3,86,48.5,"No","Doctorate","Yes"
8.3,42.3,65.5,"No","Associate","Yes"
6.7,85.3,67.3,"No","Doctorate","Yes"
18.8,93.8,43,"No","Bachelor","Yes"
12,45.6,34.7,"No","Master","No"
3.7,42.8,28.2,"No","Master","Yes"
20.6,58.6,49.2,"Yes","Associate","No"
15.2,64.5,72.5,"No","Master","No"
7.6,51.6,73.9,"Yes","High School","No"
16.3,69.7,61.6,"No","Bachelor","No"
6.5,92.8,92.7,"Yes","Bachelor","Yes"
12.2,46.6,58.1,"No","Master","No"
13.9,65,51.5,"Yes","Master","No"
5.4,52.5,70,"Yes","Doctorate","Yes"
9.7,59.5,76.6,"No","Master","Yes"
6.2,98.7,26.2,"Yes","High School","Yes"
8.7,80.2,40.6,"No","Bachelor","Yes"
3.8,85.6,34.2,"Yes","Master","Yes"
18.2,85.1,59.8,"No","Associate","No"
7.8,79.8,71.2,"Yes","Associate","No"
10.7,49.1,70.3,"Yes","Bachelor","Yes"
17.2,55.8,69.6,"Yes","Bachelor","No"
2.8,73.3,83.4,"Yes","Master","Yes"
12.3,97.9,79.4,"No","Doctorate","Yes"
7,74.3,60.7,"Yes","Master","No"
10.3,86.6,59.9,"No","Doctorate","Yes"
8.1,63.7,63.5,"Yes","Doctorate","No"
13.3,57.1,32.5,"Yes","High School","No"
3.8,77.8,55.2,"No","Associate","Yes"
20.7,73,59.4,"Yes","Doctorate","Yes"
0.2,69.4,62.1,"No","High School","Yes"
12.9,81.9,57.6,"No","Doctorate","Yes"
11.4,47.7,81,"No","High School","No"
9,63.3,89.5,"No","Doctorate","Yes"
7.1,68.7,56.4,"Yes","Associate","No"
14.2,65.4,56,"Yes","Bachelor","No"
11.8,63.7,59.5,"No","Bachelor","Yes"
6.5,65.6,52.2,"Yes","High School","Yes"
14.5,87.1,71.2,"No","High School","No"
14.1,94.7,64.8,"Yes","Associate","Yes"
13.1,84.3,60.4,"Yes","Associate","No"
7.2,82.5,68.8,"Yes","Doctorate","No"
13.7,98.9,59.7,"Yes","High School","Yes"
9.9,80.6,62.8,"No","Bachelor","No"
10.6,83.5,75.1,"Yes","Master","Yes"
16.4,51.9,53.3,"No","High School","No"
12.7,85.6,36.5,"No","Associate","Yes"
9,87.6,48.9,"Yes","Master","No"
15.5,29,58.4,"No","Associate","Yes"
14.1,69.7,35.6,"No","Bachelor","No"
14.1,76.5,72.9,"Yes","Doctorate","Yes"
16.5,58.5,51.8,"Yes","Bachelor","No"
13.4,68.2,70.5,"No","Master","No"
8.4,90.4,77.5,"No","Master","No"
10.5,63.7,61.8,"Yes","Doctorate","Yes"
5.9,77,48.2,"Yes","High School","Yes"
20.5,79.4,62.7,"Yes","Doctorate","No"
3.9,66.2,98.8,"Yes","Master","Yes"
15.8,85.6,72.8,"No","Master","No"
13.1,67.1,82.7,"Yes","High School","Yes"
13.1,40.6,78.3,"Yes","Associate","Yes"
9.9,57.3,43.2,"No","Associate","Yes"
10.4,41.1,66.5,"Yes","High School","Yes"
14.9,40.4,49.5,"No","Master","Yes"
9.3,59.5,62.8,"Yes","Associate","Yes"
5.9,67.5,64.8,"Yes","Associate","Yes"
12.1,75.5,31.2,"Yes","Doctorate","No"
7.2,70.7,46.1,"Yes","Doctorate","Yes"
5.9,56.3,67.9,"No","Associate","Yes"
11.2,85.4,62.9,"No","Bachelor","No"
7.5,70.4,58.1,"Yes","Master","No"
11.2,89.4,41.2,"Yes","Associate","Yes"
2.8,90.2,96.5,"No","Bachelor","No"
3,57.2,71.3,"No","Master","No"
6.4,62.5,71.9,"No","Bachelor","No"
8.9,60.5,49,"No","Master","No"
17.4,93.1,72.7,"No","Associate","No"
14.3,78.9,59.7,"Yes","Bachelor","No"
9.2,31.2,69,"Yes","Bachelor","No"
5,48,44.9,"Yes","Associate","Yes"
9.9,60.7,81.7,"Yes","High School","Yes"
11.6,73.3,78.6,"Yes","Master","No"
5.9,92.5,52.4,"No","Doctorate","Yes"
17.7,55.7,59.2,"Yes","Doctorate","No"
9.5,68.8,61.8,"No","High School","No"
12,94.5,76.4,"Yes","Master","Yes"
13.5,87.6,89.5,"Yes","Associate","No"
10.1,97.9,61,"Yes","Doctorate","No"
10.5,90.8,66.3,"Yes","Master","Yes"
10.1,90.7,49.5,"No","Doctorate","Yes"
20.8,71.6,65.7,"No","Bachelor","Yes"
6.2,62.5,64.3,"No","High School","Yes"
14.4,78.4,72.8,"No","Associate","No"
20.9,79.4,62.6,"No","Doctorate","No"
6,86.1,26.4,"Yes","Associate","No"
5.8,69.1,49.2,"No","Associate","No"
7,60.3,81.1,"Yes","High School","No"
7.4,90.4,85,"No","Associate","Yes"
6.2,76.6,58.4,"Yes","Associate","No"
10.8,71.5,60.1,"No","Doctorate","No"
11.7,98.4,76.1,"No","Bachelor","Yes"
19.4,49.2,74,"Yes","Doctorate","No"
7.1,55.7,65.6,"Yes","Bachelor","Yes"
5.5,88.1,64.2,"No","Associate","No"
12.5,30.5,47.7,"Yes","High School","No"
3.4,91.1,56,"No","Bachelor","No"
19.2,90.3,69,"Yes","Master","Yes"
15.9,56.5,61.7,"No","High School","No"
7.7,76.3,79,"No","High School","No"
16.8,83.6,79.2,"Yes","Bachelor","Yes"
7,96.9,55.7,"Yes","Bachelor","No"
10.2,84.9,46.5,"No","Doctorate","No"
7.7,86.4,41.7,"Yes","Associate","No"
4.7,78.6,69,"Yes","Master","No"
9.3,82,73,"No","Associate","No"
10.6,71.3,63.1,"Yes","Doctorate","No"
4.4,81.1,64.7,"Yes","Master","Yes"
2.3,71.8,64.6,"No","Doctorate","No"
6.3,77.9,58.9,"No","Bachelor","No"
17.8,78.4,60.3,"Yes","High School","Yes"
10.6,78.6,31.7,"Yes","Bachelor","No"
15.9,67.7,30.8,"Yes","Bachelor","No"
10.3,46.8,64,"No","Bachelor","Yes"
8.8,100,91.2,"Yes","Bachelor","No"
14.9,53.5,60.8,"No","Bachelor","Yes"
5.2,95.9,66.5,"No","Associate","No"
1.2,58.1,65.7,"No","High School","No"
8.7,63.1,65.4,"Yes","Master","Yes"
13.6,81.3,46.7,"No","Associate","Yes"
1.5,86,63.1,"Yes","High School","Yes"
9.7,90,70.2,"Yes","Bachelor","No"
11.9,91.3,60.5,"Yes","Bachelor","Yes"
9.8,80,54.2,"Yes","High School","Yes"
0.3,67.4,49.1,"No","Bachelor","No"
3.5,69,56.3,"Yes","Master","No"
11.8,83.5,80.7,"Yes","Doctorate","Yes"
5.3,73.8,67.2,"No","Associate","No"
9.7,86.2,50.5,"Yes","Bachelor","No"
1,85.5,56.8,"No","Associate","Yes"
12.5,87.2,61.9,"No","High School","No"
7.3,45.7,55.7,"No","Associate","Yes"
9.5,68.7,74.8,"No","Master","Yes"
4.8,91.5,54.4,"No","Doctorate","Yes"
7.2,81.7,62.4,"No","Master","No"
4,94.7,57.9,"No","Associate","Yes"
10.2,59,67.4,"No","Doctorate","No"
6.5,93.9,36.8,"No","Associate","No"
11.1,88.7,50.6,"Yes","High School","Yes"
8.9,89.1,51.4,"Yes","Doctorate","No"
13.1,87,48.7,"No","High School","No"
7.3,93.4,60.6,"Yes","High School","Yes"
8.6,58.6,64.8,"No","Master","No"
1.5,67.2,68.5,"No","Bachelor","No"
16.8,35.8,52.9,"Yes","Master","Yes"
18.2,73.3,65.9,"Yes","Doctorate","No"
8.8,78,61.1,"Yes","High School","No"
12.9,71.5,63.4,"Yes","Associate","Yes"
9.4,62.3,57.9,"Yes","Master","No"
5.2,80.6,69.5,"Yes","Master","Yes"
2,98.3,79.2,"No","High School","Yes"
2.9,61.1,99.8,"Yes","Bachelor","No"
6.8,82.5,37.7,"No","Associate","No"
18.4,60.5,80.8,"Yes","Master","No"
14.4,95.5,93.7,"No","Associate","Yes"
17.4,76,69.7,"No","Doctorate","Yes"
10.4,81,58.5,"Yes","Master","No"
5.7,52.9,60.9,"No","Associate","Yes"
17.6,89.7,71,"Yes","Bachelor","No"
4.8,68.5,73,"Yes","Doctorate","Yes"
3.1,82.7,69.2,"Yes","Bachelor","Yes"
3,79.6,78.1,"Yes","Master","Yes"
12.8,76.2,68.9,"Yes","Bachelor","Yes"
6.7,94.6,88.2,"Yes","Associate","No"
10.2,72.4,53.1,"No","Associate","Yes"
5.8,66.5,40.8,"Yes","Doctorate","Yes"
11.4,48.2,82.9,"No","Master","Yes"
9.7,78.9,62.1,"No","Doctorate","Yes"
8.8,81.3,85.2,"No","High School","No"
7.1,82.4,69.2,"No","Doctorate","Yes"
13.8,68.9,73.7,"Yes","Doctorate","No"
12.5,83.1,62.2,"No","Bachelor","No"
10.5,92.8,68.6,"Yes","Master","No"
13.8,87.4,83.7,"No","Master","Yes"
12.7,63.4,65.3,"Yes","High School","Yes"
6.7,54.3,58.8,"No","High School","No"
12.9,51.2,63.2,"No","High School","Yes"
6.2,82.9,52,"Yes","Bachelor","Yes"
1,85,50.3,"Yes","Bachelor","No"
1.9,96.9,61.4,"No","Master","No"
11.3,96,75.9,"No","Associate","Yes"
5.5,72.4,48.1,"No","High School","No"
13.2,90.4,65.2,"Yes","Associate","Yes"
9.7,73.8,50.3,"No","High School","Yes"
6.7,75.6,76.4,"No","Associate","No"
10.2,99.5,64.1,"Yes","Bachelor","Yes"
5.7,76.4,34.7,"No","Associate","No"
8.1,89.4,76.6,"Yes","Master","No"
15,80.5,66.3,"Yes","High School","Yes"
4.4,98.6,63.1,"Yes","High School","No"
12.6,89.3,69.7,"Yes","Master","No"
17.2,62.6,80.4,"No","Associate","Yes"
2.4,47.3,51.5,"Yes","Doctorate","No"
6,79.1,58.2,"Yes","Doctorate","Yes"
12.9,63.4,78.3,"Yes","Associate","Yes"
9,71.5,80.7,"Yes","High School","Yes"
10.4,73.1,72.5,"No","Bachelor","Yes"
15.8,58.3,64.8,"No","Master","No"
11.3,69.5,64.6,"No","Associate","Yes"
7.9,62.7,72.1,"No","High School","No"
7.6,70.7,81.4,"No","Bachelor","No"
12,40,54.1,"No","High School","Yes"
11.4,59.3,43.2,"No","High School","Yes"
14.4,71.4,97.5,"No","High School","Yes"
8,82,39.1,"No","Associate","Yes"
5,32.8,80.9,"Yes","Master","No"
0.6,51,47.5,"No","Doctorate","No"
10.1,44.8,84.1,"Yes","High School","No"
18.4,75.2,57.5,"No","High School","Yes"
11.6,65.3,58.1,"Yes","Associate","Yes"
8.9,62.2,75.4,"Yes","Doctorate","Yes"
1.1,68.3,77.7,"No","Master","Yes"
2.6,83.5,71.3,"No","Master","No"
11.7,80.2,71.8,"No","Bachelor","No"
7.9,91.1,62.8,"Yes","Doctorate","No"
7.7,97.8,55.5,"No","Bachelor","No"
14.2,62.8,72,"No","Bachelor","Yes"
5.7,79.7,52.9,"Yes","Doctorate","Yes"
10.4,81,64.5,"Yes","High School","Yes"
7.6,72.2,90.9,"Yes","Master","Yes"
15.2,61.2,67.2,"No","Bachelor","No"
5.1,57.9,52.6,"No","Master","Yes"
7.8,96.2,64.4,"No","High School","No"
11.9,72.9,54.7,"No","Doctorate","No"
5.4,79.5,62.8,"No","High School","No"
14.3,95.8,50.7,"Yes","Bachelor","Yes"
16.8,70.8,59.4,"Yes","Doctorate","No"
12.1,61.8,75.3,"Yes","Doctorate","Yes"
3.8,73.2,76.8,"No","Associate","No"
9.7,74.1,77.7,"Yes","High School","No"
11.4,55,59.9,"No","Doctorate","No"
4.4,74.8,93.4,"Yes","Doctorate","No"
10.6,80.9,75.2,"No","Master","No"
10.5,78.7,41.3,"Yes","Doctorate","No"
13.6,89.5,49.8,"No","Master","Yes"
6,89.7,62.7,"Yes","Doctorate","No"
19.4,70.3,84.6,"Yes","Master","No"
16.7,84.4,54.6,"Yes","Master","No"
18,74.3,59.3,"No","Bachelor","Yes"
7.4,69.4,44.2,"No","Master","No"
5.1,78.1,58.4,"No","Doctorate","No"
9.4,78.3,68.6,"Yes","Doctorate","Yes"
10.3,52.9,65.6,"No","Master","Yes"
17.6,55.4,67.5,"Yes","Master","No"
14.1,70.4,77,"Yes","High School","No"
3.5,83.5,66.8,"No","Associate","Yes"
18.3,78.7,64,"No","Doctorate","Yes"
2.5,37.7,73.8,"No","Associate","Yes"
9.7,87.3,66.6,"Yes","Bachelor","No"
8.8,47.8,62.6,"Yes","Bachelor","Yes"
15.6,60.9,74.1,"No","Associate","Yes"
4.5,57.7,68.6,"No","Master","Yes"
22.9,60.1,64.8,"Yes","High School","Yes"
10.3,91.4,67.6,"No","Bachelor","No"
10.1,98.3,60.9,"No","High School","Yes"
9.9,50.2,66.7,"No","Doctorate","No"
9.3,38.2,58.9,"No","Master","Yes"
7.1,80.5,69.6,"No","Doctorate","Yes"
9.8,39.4,70.8,"No","Associate","Yes"
7.3,54.7,96,"Yes","High School","Yes"
10.5,91.9,37.5,"Yes","Bachelor","Yes"
8.7,56.2,83.1,"No","Associate","No"
3.3,58.7,70.6,"Yes","Associate","Yes"
16.2,84.4,55.3,"Yes","Associate","No"
8.3,82.4,64.8,"No","High School","Yes"
3,89.2,39.3,"No","Doctorate","No"
18.8,57,79.2,"Yes","Master","No"
14.7,73.4,47.8,"No","Associate","Yes"
16.4,61.7,74.4,"Yes","Associate","Yes"
7.4,87.5,77.7,"Yes","Doctorate","Yes"
3.9,96.5,42.5,"Yes","Bachelor","No"
13.6,87.4,66.1,"Yes","High School","No"
8.1,33.1,44.4,"Yes","Doctorate","No"
12.2,61,69.3,"No","Associate","No"
8.2,47.5,66.8,"Yes","High School","No"
15.8,77.3,72.6,"No","High School","Yes"
4.6,78.2,35.1,"Yes","Doctorate","Yes"
13,93.1,69.2,"No","Associate","No"
8.5,64.8,80.5,"Yes","Bachelor","No"
14.6,77.8,54.8,"No","High School","Yes"
9.1,76.8,55.8,"No","Doctorate","Yes"
7.4,57,59.4,"No","Bachelor","Yes"
15.2,71,63.8,"Yes","Master","No"
6.5,61.1,38.4,"No","High School","Yes"
2.2,88.5,64.5,"Yes","Associate","No"
3.6,85.2,53.5,"No","Associate","Yes"
0.4,61.7,73.8,"Yes","Bachelor","No"
18.5,66.9,67.2,"No","Doctorate","No"
11.1,70.6,67.1,"No","Master","No"
9.5,57.6,64.5,"No","Master","No"
7.3,96.1,65.2,"Yes","Master","No"
12,71,75.2,"No","High School","No"
9.8,90.3,89.3,"No","High School","Yes"
15.5,47,87.4,"No","Doctorate","Yes"
10.6,61.2,48.7,"No","High School","Yes"
10.8,92.2,33.3,"Yes","Doctorate","Yes"
8.2,92.5,73,"No","Bachelor","Yes"
11.5,81.1,64.1,"No","Associate","No"
1.4,81.6,70.7,"No","High School","Yes"
3.3,60.8,61.3,"No","Bachelor","Yes"
10.9,43.4,47.9,"No","Bachelor","Yes"
11.7,75.6,93.3,"Yes","Master","No"
7.3,76.6,58,"Yes","Associate","No"
11,85.7,36.6,"Yes","Associate","No"
5.1,86.7,57.4,"Yes","Associate","No"
12,90.8,67.7,"No","Bachelor","No"
1.5,77.5,26.7,"Yes","Associate","No"
15.1,67.2,87.8,"No","Bachelor","No"
12.4,63.9,54.6,"No","High School","Yes"
11.3,53.9,65.5,"Yes","Doctorate","No"
14.9,66.9,71.7,"No","Associate","No"
18.3,62.9,41.1,"No","Bachelor","No"
0.8,54.1,67,"Yes","Doctorate","Yes"
3.6,95.7,59.9,"Yes","Associate","No"
10.1,70.9,68.1,"No","Associate","Yes"
10.9,59,86,"Yes","Bachelor","Yes"
6.2,50.2,82.5,"Yes","High School","Yes"
6.9,67.4,56.7,"Yes","High School","No"
3,56.8,60.8,"Yes","Bachelor","Yes"
3.2,63.3,82.7,"No","Master","Yes"
15.3,68.3,89.4,"Yes","Master","No"
5.3,91.1,51,"No","High School","Yes"
12.5,70.4,44.2,"Yes","Associate","No"
5.7,74.7,47.4,"No","Associate","No"
13.5,83.3,47.7,"No","Bachelor","Yes"
7.1,52.4,68.6,"No","Doctorate","Yes"
10.6,70.1,54.6,"No","Doctorate","Yes"
22.8,74,69.3,"Yes","Associate","No"
15.7,72.1,72.3,"No","Doctorate","No"
6.5,56.3,58.5,"Yes","Bachelor","Yes"
9.8,81.8,60.6,"No","High School","Yes"
18.9,74.1,45.5,"Yes","Master","Yes"
6.9,74.1,80.3,"No","High School","No"
19.1,53.3,67.1,"Yes","Doctorate","Yes"
13.1,90.2,57.6,"No","Bachelor","No"
2.1,36.8,85.7,"No","High School","Yes"
8.8,63.9,71.8,"Yes","Associate","No"
9.6,29.8,35.5,"Yes","Doctorate","No"
13.1,89.6,81.2,"Yes","Bachelor","No"
10.9,74.6,71.7,"No","Master","No"
11.9,71.7,56.1,"Yes","Master","Yes"
12.8,69.6,89.2,"No","Associate","Yes"
15.4,57.5,79.4,"No","Master","Yes"
14.2,66.9,43.6,"Yes","High School","No"
12.3,50.9,65.2,"No","Bachelor","Yes"
9.6,82.7,80.3,"No","Master","No"
11.4,66.9,66,"Yes","Bachelor","Yes"
3.6,81.3,80.3,"No","Master","No"
4.6,73.9,50.1,"Yes","High School","Yes"
15.3,98.2,33,"No","Master","No"
13.4,69.6,71.8,"Yes","Associate","No"
10.1,57.8,49.8,"Yes","Associate","No"
14.7,71.1,69,"No","Bachelor","Yes"
7.4,93.3,55.4,"Yes","Bachelor","No"
10.5,58.6,76,"No","Master","Yes"
7.7,90.3,63,"No","Associate","No"
8.5,95.1,66,"No","Doctorate","No"
7.6,73.2,58.4,"No","Master","Yes"
16.3,55,54.3,"No","Associate","No"
5.5,67.2,60.7,"Yes","Master","Yes"
9.1,74.7,74.2,"No","Doctorate","Yes"
17.2,81.4,83.9,"No","Bachelor","Yes"
15.2,82,63.4,"Yes","High School","Yes"
11.3,71,31.9,"No","Master","Yes"
14.4,78.3,56,"No","Associate","No"
15.3,66.2,76.5,"Yes","Master","No"
17,94.8,45.2,"No","Master","Yes"
21.5,99.1,73.2,"Yes","Associate","Yes"
8.2,59.7,69.8,"No","High School","No"
7.8,82,48,"No","Master","No"
17.3,96.8,87.7,"No","Doctorate","No"
8.6,71.2,89.7,"Yes","Bachelor","Yes"
5.4,30.8,48.5,"Yes","Master","Yes"
5,54.1,92.3,"No","Master","No"
9.8,65.6,49.1,"Yes","Doctorate","Yes"
11.2,49,89.4,"Yes","Doctorate","No"
14.9,95.4,71.3,"Yes","Master","No"
8.9,43.8,48.8,"No","Associate","Yes"
9.8,46.1,93.2,"No","Associate","No"
4.4,58,37,"Yes","Bachelor","No"
11.9,80.4,58.3,"Yes","Master","No"
12.5,71.9,63.3,"No","Bachelor","No"
22.3,81.5,73.4,"Yes","Doctorate","No"
6.8,94.1,74.9,"No","Associate","Yes"
7.3,27.9,90.4,"No","Associate","No"
6.9,87.7,39,"No","Bachelor","No"
7.2,84.7,49.9,"No","Doctorate","Yes"
6.8,67.8,53.7,"No","Bachelor","Yes"
17.1,65.1,87.6,"Yes","Associate","Yes"
7.1,42.8,69.1,"Yes","Associate","Yes"
5.8,90.6,63.7,"Yes","Doctorate","Yes"
7.2,76.5,82.6,"No","Master","No"
11,85,69.1,"No","Master","Yes"
2.4,70.1,59.9,"No","High School","Yes"
6.9,50.6,54.6,"Yes","Bachelor","Yes"
20.1,71.8,65.1,"No","Master","No"
9.1,65.4,56.8,"Yes","Bachelor","Yes"
6,62,61.3,"No","Bachelor","No"
3.1,77.4,66.2,"No","Doctorate","No"
7.4,26.2,45.5,"Yes","High School","Yes"
9.9,76.1,63.6,"No","High School","Yes"
22.6,85,45.2,"Yes","Associate","No"
7.3,71.3,66.1,"No","High School","Yes"
19.2,67.8,90.5,"Yes","Bachelor","No"
14.1,51.6,30.6,"No","High School","Yes"
12.5,83.1,50.2,"Yes","Master","No"
16.9,59.8,67.3,"Yes","Associate","Yes"
13.2,52.8,68.3,"No","Doctorate","No"
10.7,42.5,89.9,"No","Bachelor","Yes"
16,82.4,74.1,"Yes","Master","No"
5.9,63.6,61.4,"No","High School","Yes"
10.1,59.1,31.4,"No","Bachelor","Yes"
